Código município;Cor/raça;Estado civil;Faixa etária;Gênero;Grau de instrução;Município;Nome candidato;Número candidato;Ocupação;Partido;Situação totalização;Votos válidos;Votos nominais;Data de carga;eleicao
13838;Parda;Solteiro(a);45 a 49 anos;Masculino;Ensino Médio completo;CRATEÚS;ANTONIO MARCELO SOARES BARBOSA;45;Empresário;PSDB;Não Eleito;47932;21877;2026-02-28 19:30:47;2024
14796;Parda;Casado(a);60 a 64 anos;Masculino;Superior completo;MORRINHOS;JERÔNIMO NETO BRANDÃO;13;Prefeito;PT;Eleito;17345;9001;2026-02-28 19:30:47;2024
14095;Branca;Casado(a);50 a 54 anos;Feminino;Superior completo;ICÓ;SENIA APARECIDA RODRIGUES DE SOUSA TORRES;15;Pedagogo;MDB;Não Eleito;38312;12515;2026-02-28 19:30:47;2024
13188;Parda;Casado(a);50 a 54 anos;Masculino;Superior completo;HORIZONTE;ALEXANDRE HOLANDA SABINO;12;Médico;PDT;Não Eleito;49791;2548;2026-02-28 19:30:47;2024
13633;Preta;Casado(a);45 a 49 anos;Masculino;Superior completo;CARIRIAÇU;CÉLIO DE MENDONÇA CLEMENTE;50;Professor de Ensino Médio;PSOL;Não Eleito;20440;158;2026-02-28 19:30:47;2024
15733;Branca;Divorciado(a);65 a 69 anos;Masculino;Ensino Médio completo;UBAJARA;FRANCISCO RENATO ALVES PESSOA;55;Empresário;PSD;Não Eleito;22180;9316;2026-02-28 19:30:47;2024
14770;Branca;Solteiro(a);30 a 34 anos;Masculino;Superior completo;MORAÚJO;RUAN VICTOR ARAÚJO DE OLIVEIRA LIMA;55;Empresário;PSD;Eleito;7402;4028;2026-02-28 19:30:47;2024
14095;Parda;Solteiro(a);45 a 49 anos;Feminino;Superior completo;ICÓ;AURINEIDE AMARO DE SOUSA;13;Professor de Ensino Superior;PT;Eleito;38312;24944;2026-02-28 19:30:47;2024
14133;Branca;Casado(a);55 a 59 anos;Masculino;Ensino Médio incompleto;INDEPENDÊNCIA;ERIVAN SOARES MOTA;30;Comerciante;NOVO;Não Eleito;18120;79;2026-02-28 19:30:47;2024
15075;Parda;Solteiro(a);25 a 29 anos;Masculino;Superior completo;PARAMBU;ROMULO MATEUS NORONHA;77;Prefeito;SOLIDARIEDADE;Eleito;20189;16282;2026-02-28 19:30:47;2024
13048;Branca;Casado(a);30 a 34 anos;Feminino;Superior completo;PIRES FERREIRA;LIVIA MARIA MESQUITA MORORO MUNIZ MARQUES;40;Prefeito;PSB;Eleito;7527;5391;2026-02-28 19:30:47;2024
14680;Parda;Solteiro(a);30 a 34 anos;Masculino;Superior completo;MIRAÍMA;FRANCISCO FRANK SINATRA DIAS BRAGA;55;Advogado;PSD;Não Eleito;10379;2715;2026-02-28 19:30:47;2024
13170;Branca;Solteiro(a);35 a 39 anos;Feminino;Superior completo;APUIARÉS;IRIS MARIA CRUZ DE LIMA;13;Prefeito;PT;Não Eleito;11136;3628;2026-02-28 19:30:47;2024
15156;Parda;Casado(a);35 a 39 anos;Feminino;Ensino Fundamental incompleto;PENTECOSTE;ANTÔNIA ERINEIDE BRASILEIRO DE OLIVEIRA;35;Agricultor;PMB;Não Eleito;26942;113;2026-02-28 19:30:47;2024
14052;Parda;Casado(a);45 a 49 anos;Masculino;Ensino Médio completo;HIDROLÂNDIA;FRANCISCO JERBERSON TIMBO MAGALHAES;20;Empresário;PODE;Não Eleito;13788;6631;2026-02-28 19:30:47;2024
15890;Parda;Casado(a);55 a 59 anos;Masculino;Ensino Médio completo;CRUZ;JOSÉ WALDERY MUNIZ;40;Comerciante;PSB;Eleito;19089;12655;2026-02-28 19:30:47;2024
13757;Branca;Casado(a);60 a 64 anos;Masculino;Superior completo;CEDRO;FRANCISCO NILSON ALVES DINIZ;40;Médico;PSB;Eleito;16670;8855;2026-02-28 19:30:47;2024
13161;Branca;Casado(a);55 a 59 anos;Masculino;Ensino Médio completo;CHOROZINHO;EMILIANO ALEXANDRE DE FREITAS NETO;33;Outros;MOBILIZA;Não Eleito;15788;110;2026-02-28 19:30:47;2024
13811;Parda;Casado(a);50 a 54 anos;Masculino;Ensino Fundamental incompleto;COREAÚ;ANTONINO DOURADO ARAUJO;22;Comerciante;PL;Não Eleito;16238;3877;2026-02-28 19:30:47;2024
15539;Branca;Solteiro(a);40 a 44 anos;Masculino;Superior completo;SÃO LUÍS DO CURU;DANIEL BEZERRA LIMA;65;Médico;PC do B;Não Eleito;10467;4993;2026-02-28 19:30:47;2024
15857;Branca;Casado(a);80 a 84 anos;Masculino;Superior completo;MARACANAÚ;ROBERTO SOARES PESSOA;44;Administrador;UNIÃO;Eleito;138441;86976;2026-02-28 19:30:47;2024
14095;Parda;Casado(a);50 a 54 anos;Feminino;Superior incompleto;ICÓ;MARIA CRISTIANA VIANA;10;Dona de Casa;REPUBLICANOS;Não Eleito;38312;853;2026-02-28 19:30:47;2024
14699;Branca;Casado(a);40 a 44 anos;Masculino;Superior completo;MISSÃO VELHA;LUIZ ROSEMBERG DANTAS MACEDO FILHO;40;Médico;PSB;Eleito;24703;13720;2026-02-28 19:30:47;2024
14354;Branca;Solteiro(a);25 a 29 anos;Masculino;Superior completo;JAGUARETAMA;MARCOS VINICIUS DE ABREU CUNHA;40;Médico;PSB;Eleito;9192;9192;2026-02-28 19:30:47;2024
13897;Branca;Casado(a);25 a 29 anos;Masculino;Superior completo;FORTALEZA;ANDRE FERNANDES DE MOURA;22;Deputado;PL;Segundo turno;1397526;562305;2026-02-28 19:30:47;2024
13080;Parda;Casado(a);40 a 44 anos;Masculino;Superior incompleto;TURURU;RAIMUNDO NONATO MONTEIRO DO NASCIMENTO;44;Comerciante;UNIÃO;Eleito;13375;5268;2026-02-28 19:30:47;2024
13994;Branca;Casado(a);60 a 64 anos;Masculino;Ensino Médio completo;GROAÍRAS;ADAIL ALBUQUERQUE MELO;40;Prefeito;PSB;Não Eleito;8375;4177;2026-02-28 19:30:47;2024
14117;Branca;Casado(a);55 a 59 anos;Masculino;Superior completo;IGUATU;PEDRO HELDER DE OLIVEIRA;22;Militar Reformado;PL;Não Eleito;58796;650;2026-02-28 19:30:47;2024
13323;Parda;Casado(a);55 a 59 anos;Masculino;Ensino Médio completo;TEJUÇUOCA;EDILARDO EUFRASIO DA CRUZ;15;Comerciante;MDB;Não Eleito;13715;2972;2026-02-28 19:30:47;2024
13730;Parda;Casado(a);55 a 59 anos;Masculino;Superior completo;CAUCAIA;ANTONIO AGINALDO DE OLIVEIRA;22;Militar Reformado;PL;Não Eleito;193000;23628;2026-02-28 19:30:47;2024
98531;Branca;Casado(a);35 a 39 anos;Masculino;Superior completo;QUIXELÔ;JOSÉ ADIL VIEIRA JUNIOR;40;Prefeito;PSB;Eleito;12811;9551;2026-02-28 19:30:47;2024
15911;Branca;Casado(a);40 a 44 anos;Masculino;Superior completo;FORQUILHA;EDINARDO RODRIGUES FILHO;40;Administrador;PSB;Eleito;17170;9431;2026-02-28 19:30:47;2024
13978;Parda;Casado(a);55 a 59 anos;Masculino;Ensino Médio completo;GRANJEIRO;LUIZ ALMIR SOARES;45;Agricultor;PSDB;Não Eleito;5496;2214;2026-02-28 19:30:47;2024
13480;Parda;Casado(a);60 a 64 anos;Masculino;Ensino Médio completo;ITAITINGA;LUIZ CARLOS FEITOSA ARRAIS;55;Servidor Público Estadual;PSD;Não Eleito;30384;9411;2026-02-28 19:30:47;2024
14290;Branca;Casado(a);50 a 54 anos;Masculino;Ensino Médio completo;ITAPIPOCA;FELIPE SOUZA PINHEIRO;13;Prefeito;PT;Eleito;82276;56361;2026-02-28 19:30:47;2024
13978;Parda;Casado(a);50 a 54 anos;Masculino;Ensino Médio completo;GRANJEIRO;FRANCISCO CLEMENTINO DE ALMEIDA;15;Comerciante;MDB;Eleito;5496;3282;2026-02-28 19:30:47;2024
13994;Branca;Solteiro(a);45 a 49 anos;Feminino;Superior completo;GROAÍRAS;VIRGINA SOUZA AGUIAR;12;Advogado;PDT;Eleito;8375;4198;2026-02-28 19:30:47;2024
13153;Parda;Solteiro(a);50 a 54 anos;Masculino;Ensino Médio completo;ANTONINA DO NORTE;ELMAR ALVES DA SILVA;15;Servidor Público Municipal;MDB;Não Eleito;5613;994;2026-02-28 19:30:47;2024
14656;Branca;Casado(a);35 a 39 anos;Feminino;Superior completo;MERUOCA;CARLA MARA DAVI MACEDO;40;Administrador;PSB;Não Eleito;11368;4179;2026-02-28 19:30:47;2024
14958;Parda;Casado(a);45 a 49 anos;Masculino;Superior completo;PACATUBA;RAFAEL MARQUES BASTOS;40;Administrador;PSB;Não Eleito;47973;21031;2026-02-28 19:30:47;2024
